Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,tag
0.765,0.765,1,-2.732,0.0585,0.00765,3.82E-06,0.0527,0.886,120.001,energ
0.534,0.87,11,-3.078,0.0425,0.000334,0,0.241,0.462,126.019,energ
0.597,0.945,6,-3.845,0.0497,0.018,0,0.0654,0.939,147.908,energ
0.71,0.841,9,-7.082,0.0466,0.00542,1.56E-05,0.0712,0.942,127.989,energ
0.514,0.73,1,-5.934,0.0598,0.00146,9.54E-05,0.0897,0.334,171.005,energ
0.647,0.844,0,-3.756,0.0457,0.0137,0.000658,0.102,0.746,146.967,energ
0.703,0.812,4,-4.873,0.0422,0.000313,0,0.199,0.711,102.982,energ
0.654,0.787,6,-5.085,0.0355,0.00303,0.00478,0.384,0.349,124.036,energ
0.721,0.842,5,-4.958,0.07,0.112,0.00385,0.112,0.517,123.986,energ
0.694,0.81,11,-3.556,0.0661,0.122,0,0.141,0.824,137.968,energ
0.7,0.709,7,-5.006,0.0838,0.0048,0,0.029,0.624,122.019,energ
0.673,0.642,5,-6.117,0.0842,0.136,0,0.125,0.591,134.929,energ
0.663,0.849,11,-4.462,0.0334,0.0791,1.20E-06,0.192,0.722,123.992,energ
0.749,0.814,5,-3.769,0.0404,0.156,0,0.0673,0.715,119.964,energ
0.586,0.865,7,-4.092,0.319,0.0345,5.70E-06,0.165,0.468,172.912,energ
0.634,0.81,4,-5.033,0.135,0.00291,1.11E-05,0.133,0.652,150.009,energ
0.743,0.766,0,-6.375,0.0265,0.0873,0,0.509,0.61,127.96,energ
0.528,0.886,11,-6.249,0.0329,0.0159,0,0.0758,0.8,96.001,energ
0.561,0.836,9,-3.939,0.1,0.0525,0,0.136,0.517,127.923,energ
0.746,0.78,0,-4.892,0.102,0.319,0,0.411,0.569,105.931,energ
0.696,0.793,8,-5.733,0.097,0.0683,3.78E-06,0.18,0.698,120.003,energ
0.735,0.766,1,-4.485,0.0383,0.025,0.00138,0.108,0.6,127.985,energ
0.659,0.857,11,-5.85,0.0437,0.0045,1.93E-06,0.335,0.798,106.965,energ
0.742,0.882,7,-2.862,0.117,0.0466,0,0.206,0.463,102.04,energ
0.774,0.838,5,-3.914,0.114,0.0249,0.025,0.242,0.924,143.04,energ
0.835,0.482,8,-8.607,0.367,0.262,0,0.0991,0.448,143.015,energ
0.712,0.481,4,-5.415,0.0487,0.173,0,0.241,0.062,140,energ
0.874,0.552,2,-5.997,0.383,0.0555,0,0.279,0.231,140.098,energ
0.843,0.543,8,-8.546,0.304,0.233,0,0.214,0.694,132.021,energ
0.85,0.405,7,-7.509,0.225,0.119,0.000118,0.0707,0.344,139.976,energ
0.872,0.591,6,-6.952,0.359,0.111,0,0.144,0.696,131.982,energ
0.747,0.497,4,-6.542,0.0401,0.248,0,0.138,0.0663,142.046,energ
0.859,0.574,7,-6.16,0.399,0.0989,0,0.0918,0.405,149.995,energ
0.892,0.486,11,-8.637,0.384,0.048,0,0.146,0.535,120.998,energ
0.794,0.717,7,-5.73,0.251,0.0511,0,0.195,0.372,141.881,energ
0.92,0.458,5,-5.643,0.315,0.0171,0,0.107,0.403,132.992,energ
0.81,0.55,2,-7.46,0.17,0.0114,5.69E-06,0.107,0.183,76.503,energ
0.769,0.632,10,-4.228,0.0537,0.0325,0,0.116,0.294,131.932,energ
0.757,0.655,6,-7.118,0.15,0.0759,0,0.0743,0.897,153.912,energ
0.77,0.599,2,-8.663,0.661,0.0131,0,0.0711,0.427,159.966,energ
0.792,0.445,10,-7.871,0.544,0.00256,0,0.108,0.399,157.153,energ
0.936,0.704,5,-5.47,0.457,0.0632,0,0.104,0.566,130.022,energ
0.776,0.589,9,-4.543,0.115,0.319,0,0.0715,0.668,120.034,energ
0.619,0.668,4,-2.115,0.271,0.0799,0,0.122,0.147,76.514,energ
0.877,0.517,2,-5.426,0.0706,0.217,0,0.143,0.255,119.996,energ
0.938,0.546,2,-7.037,0.138,0.00353,0,0.102,0.58,111.971,energ
0.672,0.565,1,-6.504,0.441,0.106,0,0.113,0.313,163.827,energ
0.847,0.733,10,-6.439,0.16,0.00574,1.04E-05,0.151,0.202,130.029,energ
0.755,0.898,5,-0.777,0.042,0.32,4.93E-05,0.309,0.576,135.057,energ
0.92,0.833,1,-3.18,0.253,0.0277,0,0.0596,0.645,141.034,energ
0.636,0.566,6,-7.16,0.106,0.365,0.000353,0.0917,0.425,151.894,energ
0.776,0.413,6,-7.438,0.0952,0.00415,2.68E-05,0.0724,0.287,100.003,energ
0.86,0.799,2,-2.446,0.149,0.0532,2.54E-05,0.369,0.491,140.005,energ
0.822,0.461,1,-6.506,0.449,0.328,0,0.122,0.268,130.003,energ
0.718,0.454,8,-9.012,0.127,0.153,4.60E-05,0.116,0.196,89.483,energ
