danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.541,0.515,7,-3.964,1,0.0248,0.404,0.000194,0.104,0.157,138.1,audio_features,7wsF2a0S5eyJKpx4iFD6TC,spotify:track:7wsF2a0S5eyJKpx4iFD6TC,https://api.spotify.com/v1/tracks/7wsF2a0S5eyJKpx4iFD6TC,https://api.spotify.com/v1/audio-analysis/7wsF2a0S5eyJKpx4iFD6TC,215000,4
0.666,0.599,11,-7.196,1,0.0264,0.741,0.0,0.351,0.645,104.039,audio_features,5tzgLJeeNHz7NNRWhR1L35,spotify:track:5tzgLJeeNHz7NNRWhR1L35,https://api.spotify.com/v1/tracks/5tzgLJeeNHz7NNRWhR1L35,https://api.spotify.com/v1/audio-analysis/5tzgLJeeNHz7NNRWhR1L35,243160,4
0.542,0.441,7,-9.04,1,0.0353,0.647,0.0,0.109,0.163,143.99,audio_features,2m3CrcFgbKUJv2uEFE7ihT,spotify:track:2m3CrcFgbKUJv2uEFE7ihT,https://api.spotify.com/v1/tracks/2m3CrcFgbKUJv2uEFE7ihT,https://api.spotify.com/v1/audio-analysis/2m3CrcFgbKUJv2uEFE7ihT,245440,4
0.587,0.366,7,-7.51,1,0.0344,0.819,0.0,0.121,0.305,117.959,audio_features,5CcqjfODDoSpI1xuTg9NCC,spotify:track:5CcqjfODDoSpI1xuTg9NCC,https://api.spotify.com/v1/tracks/5CcqjfODDoSpI1xuTg9NCC,https://api.spotify.com/v1/audio-analysis/5CcqjfODDoSpI1xuTg9NCC,243733,4
0.46,0.297,9,-8.785,1,0.0309,0.692,0.000318,0.107,0.125,180.095,audio_features,1Ytgo9ipdlTsf6wlg6sXf3,spotify:track:1Ytgo9ipdlTsf6wlg6sXf3,https://api.spotify.com/v1/tracks/1Ytgo9ipdlTsf6wlg6sXf3,https://api.spotify.com/v1/audio-analysis/1Ytgo9ipdlTsf6wlg6sXf3,357094,4
0.692,0.831,9,-5.389,1,0.034,0.0146,0.0,0.103,0.676,114.972,audio_features,1RidHM9BC4M8DpfSQ6YLJh,spotify:track:1RidHM9BC4M8DpfSQ6YLJh,https://api.spotify.com/v1/tracks/1RidHM9BC4M8DpfSQ6YLJh,https://api.spotify.com/v1/audio-analysis/1RidHM9BC4M8DpfSQ6YLJh,224294,4
0.712,0.536,11,-8.961,1,0.0381,0.535,0.0,0.334,0.207,90.011,audio_features,1ghC63dL4Co6i5rVXENFh5,spotify:track:1ghC63dL4Co6i5rVXENFh5,https://api.spotify.com/v1/tracks/1ghC63dL4Co6i5rVXENFh5,https://api.spotify.com/v1/audio-analysis/1ghC63dL4Co6i5rVXENFh5,204215,4
0.587,0.539,7,-9.594,1,0.0446,0.69,0.0,0.161,0.168,168.002,audio_features,77xwukOvyqpUwDQFBNvKNO,spotify:track:77xwukOvyqpUwDQFBNvKNO,https://api.spotify.com/v1/tracks/77xwukOvyqpUwDQFBNvKNO,https://api.spotify.com/v1/audio-analysis/77xwukOvyqpUwDQFBNvKNO,218097,4
0.624,0.375,2,-8.522,1,0.0505,0.751,0.0,0.323,0.521,120.06,audio_features,66YUHByAhvckqMtO9EkJ1J,spotify:track:66YUHByAhvckqMtO9EkJ1J,https://api.spotify.com/v1/tracks/66YUHByAhvckqMtO9EkJ1J,https://api.spotify.com/v1/audio-analysis/66YUHByAhvckqMtO9EkJ1J,221707,4
0.529,0.454,7,-5.499,1,0.0959,0.125,0.0,0.183,0.457,108.316,audio_features,74tswKcYGnbqDd9zbPHAgW,spotify:track:74tswKcYGnbqDd9zbPHAgW,https://api.spotify.com/v1/tracks/74tswKcYGnbqDd9zbPHAgW,https://api.spotify.com/v1/audio-analysis/74tswKcYGnbqDd9zbPHAgW,177181,4
0.747,0.855,0,-2.6,0,0.0288,0.186,2.61e-06,0.0885,0.6,101.996,audio_features,6u4QtlkKJ879ElNlgw0R7M,spotify:track:6u4QtlkKJ879ElNlgw0R7M,https://api.spotify.com/v1/tracks/6u4QtlkKJ879ElNlgw0R7M,https://api.spotify.com/v1/audio-analysis/6u4QtlkKJ879ElNlgw0R7M,226533,4
0.549,0.923,1,-3.857,1,0.0393,0.0295,8.76e-05,0.14,0.498,140.045,audio_features,27FOde2nUw0pFuj7hlPbaS,spotify:track:27FOde2nUw0pFuj7hlPbaS,https://api.spotify.com/v1/tracks/27FOde2nUw0pFuj7hlPbaS,https://api.spotify.com/v1/audio-analysis/27FOde2nUw0pFuj7hlPbaS,292075,4
0.396,0.353,2,-8.91,1,0.0298,0.731,1.1e-06,0.214,0.288,76.276,audio_features,0TKUFEQhIHT6OSc5EhsfMt,spotify:track:0TKUFEQhIHT6OSc5EhsfMt,https://api.spotify.com/v1/tracks/0TKUFEQhIHT6OSc5EhsfMt,https://api.spotify.com/v1/audio-analysis/0TKUFEQhIHT6OSc5EhsfMt,218050,4
0.51,0.552,1,-8.002,1,0.0287,0.232,0.0,0.0936,0.301,84.997,audio_features,4t6xJufZtFgVb0fbjCnWNv,spotify:track:4t6xJufZtFgVb0fbjCnWNv,https://api.spotify.com/v1/tracks/4t6xJufZtFgVb0fbjCnWNv,https://api.spotify.com/v1/audio-analysis/4t6xJufZtFgVb0fbjCnWNv,262588,4
0.631,0.233,8,-13.016,1,0.0329,0.841,3.24e-06,0.228,0.442,91.864,audio_features,3xJK8ywApYVEYIDhymYMC6,spotify:track:3xJK8ywApYVEYIDhymYMC6,https://api.spotify.com/v1/tracks/3xJK8ywApYVEYIDhymYMC6,https://api.spotify.com/v1/audio-analysis/3xJK8ywApYVEYIDhymYMC6,209760,4
0.481,0.795,8,-5.097,1,0.0408,0.0782,0.0,0.1,0.332,160.02,audio_features,1JLtvvPsHwLyd2ufASdkWV,spotify:track:1JLtvvPsHwLyd2ufASdkWV,https://api.spotify.com/v1/tracks/1JLtvvPsHwLyd2ufASdkWV,https://api.spotify.com/v1/audio-analysis/1JLtvvPsHwLyd2ufASdkWV,250005,4
0.787,0.655,2,-6.252,1,0.0335,0.557,0.0,0.0867,0.674,95.006,audio_features,4X5SAZ4JKejo2tPhvCJhZf,spotify:track:4X5SAZ4JKejo2tPhvCJhZf,https://api.spotify.com/v1/tracks/4X5SAZ4JKejo2tPhvCJhZf,https://api.spotify.com/v1/audio-analysis/4X5SAZ4JKejo2tPhvCJhZf,191896,4
