Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
748mdHapucXQri7IAO8yFK,"5cj0lLjcoR7YOSnhnX0Po5,7tYKF4w9nC0nq9CsPZTHyP","Kiss Me More (feat. SZA)","Kiss Me More (feat. SZA)","Doja Cat,SZA",2021-04-09,208866,78,spotify:user:electropos%C3%A9,2023-03-20T17:38:58Z,"dance pop,pop,r&b",0.762,0.701,8,-3.541,1,0.0286,0.235,0.000158,0.123,0.742,110.968,4
3glNWhZ110B2DLJcCyPfGt,"4QdM9MXZoixsfLRhqlJF49","Ants in Pants","Ants in Pants","Sara Costa",2021-10-15,150000,52,spotify:user:electropos%C3%A9,2023-03-20T17:38:58Z,"new french touch",0.666,0.626,9,-7.733,1,0.0862,0.503,0.00025,0.449,0.404,109.876,4
2zAKwUD7TVTt8qTxa9bnQJ,"3ebS2RuCq8QeLyndUDmgB5","For A Minute","For A Minute","WizTheMc",2020-06-18,108984,61,spotify:user:electropos%C3%A9,2023-03-20T17:38:58Z,"canadian contemporary r&b,pop rap",0.711,0.778,2,-6.346,1,0.0897,0.0273,0.00000177,0.103,0.827,160.018,4
1qwKvNHp7A1DfJTlCZRkva,"1FC1eTUauFiZrcIawwc6rD,2lgpkUmIVZsATjx0Enrh5m","Be Happy","Be Happy","Alvin Whitte,OVRTHERAINBOVV",2020-07-10,229111,43,spotify:user:electropos%C3%A9,2023-03-20T17:38:58Z,"",0.667,0.785,11,-4.805,1,0.115,0.301,0.0000142,0.894,0.292,112.008,4
2A8SaaDNKiQtzbothd2fWd,"60fosQLJjKs0sFcKEYKdzG","Feel Lighter","Feel Lighter","Xad",2021-12-14,194181,51,spotify:user:electropos%C3%A9,2023-03-20T17:38:58Z,"new french touch",0.834,0.596,4,-8.131,0,0.0875,0.504,0.000603,0.128,0.503,109.993,4
73M0rMVx5CWE8M4uATSsto,"7oPxPZSk7y5q0fhzpmX5Gi","seaside_demo","seaside_demo","SEB",2021-05-17,132000,3,spotify:user:electropos%C3%A9,2023-03-20T17:38:58Z,"indie r&b",0.706,0.824,0,-7.959,1,0.0694,0.355,0.000133,0.111,0.86,94.98,4
0o6NlHNV7Tet6yh9BC6BGd,"73eAAfRkS2Vi4hx68oTJJE,1IueXOQyABrMOprrzwQJWN","if we never met - remix","if we never met (remix)","John K,Sigala",2020-02-14,186594,64,spotify:user:electropos%C3%A9,2023-03-20T17:38:58Z,"chill r&b,electropop,pop,dance pop,edm,electro house,pop dance,tropical house",0.927,0.573,8,-5.804,1,0.0491,0.0339,0.000179,0.1,0.767,114.994,4
3rorNoTHYAHggEgagGyhAg,"4NTnwCK3RqTBH7TFIQrkfL","So Good","So Good","PLÜM",2021-05-14,176000,44,spotify:user:electropos%C3%A9,2023-03-20T17:38:58Z,"new french touch",0.707,0.713,2,-7.486,0,0.193,0.623,0.0103,0.272,0.412,121.052,4
0RW1UL8w8rjQkaIaljaFc5,"0NB5HROxc8dDBXpkIi1v3d,6USv9qhCn6zfxlBQIYJ9qs","Photo ID (with Dominic Fike)","Photo ID (with Dominic Fike)","Remi Wolf,Dominic Fike",2021-03-03,207927,56,spotify:user:electropos%C3%A9,2023-03-20T17:38:58Z,"indie pop,indie r&b,modern alternative pop,pop,alternative pop rock",0.747,0.822,1,-5.15,1,0.0893,0.192,0,0.288,0.862,115.937,4
3Jl6WHQ5cXbSM1yZXay6XN,"4AQrqVz6BYwy29iMxcGtx7","Moving On","Roosevelt","Roosevelt",2016-08-19,283007,49,spotify:user:electropos%C3%A9,2023-03-20T17:38:58Z,"alternative dance,indie emo,nu disco,shiver pop",0.582,0.913,6,-6.517,1,0.0387,0.0288,0.67,0.331,0.715,105.009,4
0jwyGDOM1tEXZbYdmHOPWz,"7lDQhKVaKvuNDftiiZVrYy","French Pressed","French Pressed","Snazzy",2021-04-27,115000,43,spotify:user:electropos%C3%A9,2023-03-20T17:38:58Z,"new french touch",0.834,0.304,1,-11.377,0,0.145,0.0495,0.773,0.109,0.352,83.982,4
4NexTaCZZ7Ehnf03A6SVjt,"4sTQVOfp9vEMCemLw50sbu,164Uj4eKjl6zTBKfJLFKKK","Dandelion","Dandelion","Galantis,JVKE",2021-01-08,140011,64,spotify:user:electropos%C3%A9,2023-03-20T17:38:58Z,"dance pop,edm,electro house,pop,pop dance,tropical house,modern indie pop",0.8,0.66,0,-4.903,1,0.158,0.158,0.02,0.14,0.634,117.923,4
3ponDZeMH4ONWpPCyfrJ5L,"3HqP3nd8WI0VfHRhApPlan,6DP0yD9AqeiK3V57URKt4W","Tainted Love","Tainted Love","Trinix,Queen D",2023-01-30,184333,66,spotify:user:electropos%C3%A9,2023-03-20T17:38:58Z,"bass trap,new french touch,tropical house",0.683,0.652,10,-7.779,1,0.0544,0.213,0.0000589,0.395,0.408,89.987,4
60crPH0AEVhi1ZxicgyR0W,"0PxzGnCYBpSuaI49OR94cA","Feel Good","Feel Good","Big Wild",2022-06-01,270789,43,spotify:user:electropos%C3%A9,2023-03-20T17:38:58Z,"electropop,indie poptimism,vapor twitch",0.547,0.726,2,-6.4,1,0.0389,0.12,0.0000478,0.112,0.329,117.93,4
