danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,uri,track_href,analysis_url
0.118,0.26,9,-14.931,0.0363,0.919,0.383,0.126,0.102,160.84,7IOxCbeDLFmiH3T5UeTqnh,spotify:track:7IOxCbeDLFmiH3T5UeTqnh,https://api.spotify.com/v1/tracks/7IOxCbeDLFmiH3T5UeTqnh,https://api.spotify.com/v1/audio-analysis/7IOxCbeDLFmiH3T5UeTqnh
0.256,0.163,2,-12.378,0.0316,0.982,0.901,0.12,0.25,141.557,1LbF55KFNJ27ZZqQxRCElX,spotify:track:1LbF55KFNJ27ZZqQxRCElX,https://api.spotify.com/v1/tracks/1LbF55KFNJ27ZZqQxRCElX,https://api.spotify.com/v1/audio-analysis/1LbF55KFNJ27ZZqQxRCElX
0.067,0.306,9,-13.658,0.0372,0.878,0.855,0.0675,0.0399,63.324,7zkrybHJT3Y0LSNxIpoFlL,spotify:track:7zkrybHJT3Y0LSNxIpoFlL,https://api.spotify.com/v1/tracks/7zkrybHJT3Y0LSNxIpoFlL,https://api.spotify.com/v1/audio-analysis/7zkrybHJT3Y0LSNxIpoFlL
0.148,0.228,5,-18.688,0.0401,0.881,0.902,0.171,0.117,75.72,2z2kBkInoDmwK76hyYxF0y,spotify:track:2z2kBkInoDmwK76hyYxF0y,https://api.spotify.com/v1/tracks/2z2kBkInoDmwK76hyYxF0y,https://api.spotify.com/v1/audio-analysis/2z2kBkInoDmwK76hyYxF0y
0.191,0.194,2,-17.69,0.0374,0.935,0.532,0.0843,0.0564,129.33,7FT3l1tlTPC8GH0bHTjMCE,spotify:track:7FT3l1tlTPC8GH0bHTjMCE,https://api.spotify.com/v1/tracks/7FT3l1tlTPC8GH0bHTjMCE,https://api.spotify.com/v1/audio-analysis/7FT3l1tlTPC8GH0bHTjMCE
0.182,0.0987,7,-18.157,0.0363,0.981,0.778,0.147,0.118,149.519,1s2G2Y8xCvr2lgpyLLHSch,spotify:track:1s2G2Y8xCvr2lgpyLLHSch,https://api.spotify.com/v1/tracks/1s2G2Y8xCvr2lgpyLLHSch,https://api.spotify.com/v1/audio-analysis/1s2G2Y8xCvr2lgpyLLHSch
0.299,0.218,3,-15.106,0.0378,0.69,3.28e-05,0.12,0.254,118.534,3MPUvSjRBBnU2nLOyv2Viv,spotify:track:3MPUvSjRBBnU2nLOyv2Viv,https://api.spotify.com/v1/tracks/3MPUvSjRBBnU2nLOyv2Viv,https://api.spotify.com/v1/audio-analysis/3MPUvSjRBBnU2nLOyv2Viv
0.43,0.142,1,-17.441,0.03,0.968,0.888,0.377,0.433,84.831,6iAH5e0S5BCcBxdA9uWPJM,spotify:track:6iAH5e0S5BCcBxdA9uWPJM,https://api.spotify.com/v1/tracks/6iAH5e0S5BCcBxdA9uWPJM,https://api.spotify.com/v1/audio-analysis/6iAH5e0S5BCcBxdA9uWPJM
0.45,0.0596,9,-22.365,0.0498,0.994,0.895,0.08,0.0832,72.699,5b2uMorpo5r6U1eKlzLthU,spotify:track:5b2uMorpo5r6U1eKlzLthU,https://api.spotify.com/v1/tracks/5b2uMorpo5r6U1eKlzLthU,https://api.spotify.com/v1/audio-analysis/5b2uMorpo5r6U1eKlzLthU
0.237,0.0803,10,-23.577,0.0416,0.948,0.54,0.373,0.1,63.325,1CKgi1N9crZUuWdyJE25ME,spotify:track:1CKgi1N9crZUuWdyJE25ME,https://api.spotify.com/v1/tracks/1CKgi1N9crZUuWdyJE25ME,https://api.spotify.com/v1/audio-analysis/1CKgi1N9crZUuWdyJE25ME
