Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3BttrU266BxO53iZMADsAg,"5Xj1fqlAVsgyiKy5K4hy1d","dromerige","dromerige","Tascenda",2022-01-07,155670,46,spotify:user:,2023-04-03T13:27:55Z,"sleep",0.763,0.00532,3,-28.834,1,0.0674,0.991,0.961,0.0981,0.251,87.885,3
0I9HIOTtaXrX968btEa3DA,"2stOL2fH4SxcTNg7RXo9AG","Box of Memories","Box of Memories","Josh Kramer",2022-08-05,162160,61,spotify:user:,2023-04-03T13:27:55Z,"",0.3,0.0464,2,-27.828,1,0.0429,0.986,0.897,0.105,0.172,129.952,4
48SGMBtW11z4g8ymVdpI4B,"3WSJGymGbgPhHHqTRBUE0H","Pianola","Pianola","Jose Carcavelos",2022-04-08,109000,42,spotify:user:,2023-04-03T13:27:55Z,"",0.464,0.00181,8,-31.933,1,0.046,0.986,0.895,0.117,0.368,87.456,4
2GoWywxSwJTNVrwgtzqQoR,"58Rq5hbLIcvGAlFeMAQFWn","Homecoming","Homecoming","Jutila",2022-10-28,152636,49,spotify:user:,2023-04-03T13:27:55Z,"",0.465,0.0553,6,-26.424,1,0.0455,0.995,0.956,0.103,0.47,77.131,4
2QYem8rVrhWvKTXC3rYypY,"36RxHbl3Duv6WNJjOGPhV4","Until We Meet Again","Until We Meet Again","Morunas",2022-09-09,164286,41,spotify:user:,2023-04-03T13:27:55Z,"anime lo-fi,background piano",0.367,0.0167,0,-29.603,0,0.045,0.992,0.953,0.103,0.135,108.711,4
0suN4tSof835KjmtU8EK8c,"3SVGtGLA9kap5qlxX4WyBb","A Silent Sorrow","A Silent Sorrow","Cristian Vivaldi",2022-10-07,133569,46,spotify:user:,2023-04-03T13:27:55Z,"",0.412,0.0305,8,-27.851,1,0.0408,0.992,0.936,0.14,0.146,136.153,4
5z8nWwvtvkyIQ2S97ATTAo,"3NLvXOZtSYiCwXc24os7Wh","Lux","Lux","Michiel Borstlap",2022-09-30,143103,41,spotify:user:,2023-04-03T13:27:55Z,"dutch jazz",0.29,0.0276,6,-28.131,0,0.0342,0.994,0.829,0.084,0.179,81.443,4
28breCSDTKxrWa96iZBNlq,"64UONbUX7NpjNZt3amXLV1","Tolerance","Tolerance","The Masked Pianoman",2022-05-20,140844,60,spotify:user:,2023-04-03T13:27:55Z,"background piano,neo-classical",0.288,0.00706,7,-33.604,1,0.0443,0.987,0.959,0.121,0.0898,79.384,4
2YFtpiy2WoAQVQbM1SIwES,"1JVGbsUCqcTgrQP6qc3LEe","Tjärnheden","Fjäderlätt","Farsjön",2022-11-03,100441,72,spotify:user:,2023-04-03T13:27:55Z,"",0.435,0.00661,11,-32.108,0,0.0433,0.993,0.939,0.102,0.203,95.626,3
32daybCONfINAmdjMWqMyO,"72dJh8lvMFa3XnK7JSHoBw","Riverbero","Riverbero","Valentina Barbarella",2022-11-04,101752,41,spotify:user:,2023-04-03T13:27:55Z,"",0.458,0.00814,7,-27.495,1,0.137,0.995,0.961,0.113,0.262,77.941,3
2Vy6gykWpZmiWO2HYIXgCo,"7a0TJP7Zpr9ROvnR3ijADo","It’s Nothing","It’s Nothing","Eric Cadogan",2022-09-16,145035,41,spotify:user:,2023-04-03T13:27:55Z,"",0.537,0.0844,3,-21.959,1,0.0666,0.996,0.961,0.107,0.321,83.117,3
3CQN71R8GSjtdBKodHBai2,"0M2jyp8P5yTxQcdPyCdDkM","Lämna","Lämna","Lo Mimieux",2021-10-22,195500,55,spotify:user:,2023-04-03T13:27:55Z,"background piano,focus",0.289,0.015,1,-32.188,1,0.0609,0.994,0.908,0.103,0.259,61.393,4
7eiM2QUgzptSwtOAno0kVW,"5MhlqMxEF4q8fUcxDLnPZL","Zašto","Zašto","Suzana Tomić",2022-10-07,139803,41,spotify:user:,2023-04-03T13:27:55Z,"background piano",0.424,0.045,9,-24.139,0,0.0446,0.996,0.954,0.12,0.402,167.486,4
4eOuwMCVbEnUx6O7rjsoKw,"5PVx0aBQ2ebBVk09n1675G","Serenade","Serenade","Con Alma",2022-09-30,161144,41,spotify:user:,2023-04-03T13:27:55Z,"background piano",0.32,0.0163,1,-30.26,1,0.0388,0.993,0.931,0.108,0.124,81.965,4
55CV2zAzc0R9M31IRTm2vA,"0OFX9pzVpaZJd64GoemB3J","Seascape","Seascape","Joni Bernier",2022-05-13,125000,54,spotify:user:,2023-04-03T13:27:55Z,"",0.257,0.0377,5,-30.735,1,0.0394,0.982,0.893,0.119,0.0767,86.503,4
49a2PByrGqVmdCktGMZwgc,"5uQAgpFL2lx2pufHYhPAin","Abode","Abode","Allysium",2022-09-16,149197,60,spotify:user:,2023-04-03T13:27:55Z,"background piano",0.427,0.0278,6,-21.905,0,0.0395,0.989,0.95,0.104,0.329,77.492,4
0QVOz1Ciduo7miwdCMAeRD,"1MeRseIlQhsx4BksnKLHZ0","Daydreamer","Daydreamer","Ronan Spoor",2022-11-04,156916,43,spotify:user:,2023-04-03T13:27:55Z,"",0.458,0.0415,9,-27.81,0,0.0557,0.995,0.939,0.0781,0.193,122.501,4
